DATAFLOW,LAST UPDATE,freq,sex,isced11,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CY,2013,12.7,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CY,2014,12.5,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CY,2015,14.3,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CY,2016,12.5,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CY,2017,12.0,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CY,2018,10.1,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CY,2019,6.7,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CY,2020,7.8,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CY,2021,9.8,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CY,2022,7.9,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CZ,2013,24.9,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CZ,2014,20.9,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CZ,2015,22.4,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CZ,2016,20.7,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CZ,2017,14.2,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CZ,2018,11.0,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CZ,2019,11.6,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CZ,2020,10.3,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CZ,2021,14.4,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,CZ,2022,14.8,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,DE,2013,8.1,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,DE,2014,7.9,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,DE,2015,7.6,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,DE,2016,7.0,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,DE,2017,6.4,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,DE,2018,5.6,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,DE,2019,5.1,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,DE,2020,6.3,b
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,DE,2021,6.8,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,DE,2022,6.0,
